id	num	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc	group
MGAT2	12	0.58009	0.71141	0.999876	206	2	-1.1093	E_minus
GALNT8	10	0.72506	0.74068	0.999876	243	1	-1.1381	E_minus
B3GAT1	11	0.71534	0.74865	0.999876	241	1	-1.1464	E_minus
B3GNT9	10	0.20312	0.36317	0.999876	76	2	-1.1481	E_minus
ST8SIA1	10	0.44961	0.58554	0.999876	160	1	-1.151	E_minus
ST8SIA2	9	0.78183	0.7815	0.999876	258	1	-1.1593	E_minus
NPL	15	0.16877	0.35674	0.999876	65	3	-1.1595	E_minus
GAL3ST1	11	0.27057	0.44187	0.999876	105	2	-1.2134	E_minus
HS3ST2	9	0.66366	0.68453	0.999876	228	1	-1.215	E_minus
UGT1A5	8	0.044967	0.10939	0.999876	26	3	-1.2153	E_minus
UGT1A7	7	0.72003	0.71923	0.999876	242	0	-1.238	E_minus
CSGALNACT1	13	0.48559	0.63713	0.999876	174	1	-1.2563	E_minus
SLC35B3	11	0.031871	0.095722	0.999876	19	3	-1.2758	E_minus
B3GNT7	11	0.77399	0.78571	0.999876	254	1	-1.2784	E_minus
B3GALT2	11	0.30749	0.47028	0.999876	116	1	-1.2861	E_minus
SULT1C3	10	0.36478	0.50643	0.999876	136	2	-1.3078	E_minus
ARSB	12	0.27103	0.45591	0.999876	106	2	-1.3139	E_minus
GALNT15	9	0.38087	0.51727	0.999876	143	1	-1.3277	E_minus
HAS1	13	0.19108	0.36495	0.999876	71	3	-1.4332	E_minus
EOGT	14	0.20235	0.39029	0.999876	75	2	-1.4422	E_minus
SLC35D1	10	0.24747	0.40166	0.999876	95	2	-1.4689	E_minus
IDS	9	0.70996	0.71928	0.999876	238	1	-1.4786	E_minus
SLC35D2	10	0.64468	0.69046	0.999876	221	1	-1.5043	E_minus
XYLT2	10	0.83825	0.83807	0.999876	268	0	-1.5134	E_minus
NEU1	12	0.85478	0.85631	0.999876	276	1	-1.5576	E_minus
UGGT2	13	0.12072	0.27692	0.999876	52	3	-1.5662	E_minus
NAGA	13	0.7817	0.81267	0.999876	257	1	-1.5676	E_minus
COG1	11	0.25159	0.42702	0.999876	97	2	-1.5689	E_minus
LAMP3	13	0.38038	0.56223	0.999876	142	1	-1.5728	E_minus
CHST11	13	0.021914	0.075052	0.999876	15	5	-1.5759	E_minus
FUT3	12	0.48989	0.63258	0.999876	177	2	-1.5809	E_minus
B3GNT6	13	0.20151	0.37721	0.999876	74	3	-1.5847	E_minus
GALNT13	12	0.47569	0.62067	0.999876	171	1	-1.626	E_minus
PIGA	15	0.40357	0.60664	0.999876	150	1	-1.6378	E_minus
A4GALT	11	0.51865	0.65301	0.999876	188	1	-1.6525	E_minus
MAN1A1	11	0.66338	0.72143	0.999876	227	1	-1.6697	E_minus
LCT	10	0.63762	0.68671	0.999876	217	1	-1.6749	E_minus
MAN2A2	12	0.50155	0.64255	0.999876	182	2	-1.6786	E_minus
GALNT12	8	0.66952	0.68031	0.999876	232	1	-1.679	E_minus
POGLUT1	13	0.03421	0.10922	0.999876	21	5	-1.7062	E_minus
XXYLT1	11	0.02057	0.069438	0.999876	14	4	-1.7357	E_minus
NAAA	12	0.063402	0.16484	0.999876	29	4	-1.7372	E_minus
B3GAT3	10	0.89266	0.89218	0.999876	291	0	-1.7443	E_minus
ABO	10	0.39548	0.53433	0.999876	148	2	-1.7446	E_minus
HS6ST3	12	0.88557	0.88613	0.999876	285	0	-1.7719	E_minus
CHST8	15	0.51317	0.67916	0.999876	187	2	-1.8017	E_minus
B4GALT4	11	0.3761	0.52747	0.999876	141	2	-1.8335	E_minus
COG5	14	0.89515	0.89477	0.999876	293	1	-1.8367	E_minus
EXT2	11	0.22459	0.39735	0.999876	86	2	-1.8527	E_minus
HS3ST6	9	0.50527	0.59558	0.999876	183	1	-1.8576	E_minus
MGAT5B	10	0.58341	0.65899	0.999876	207	1	-1.8629	E_minus
CTBS	12	0.055461	0.149	0.999876	28	4	-1.8782	E_minus
ST8SIA4	11	0.65287	0.71608	0.999876	224	1	-1.9137	E_minus
GM2A	10	0.31552	0.46223	0.999876	119	2	-1.9353	E_minus
HAS2	12	0.9378	0.93798	0.999876	312	0	-1.9525	E_minus
B4GALT2	10	0.20027	0.36047	0.999876	73	2	-1.9964	E_minus
GYLTL1B	12	0.22223	0.39488	0.999876	85	2	-1.998	E_minus
SLC35B2	12	0.89247	0.89281	0.999876	290	0	-2.0148	E_minus
RENBP	11	0.88917	0.88851	0.999876	287	0	-2.04	E_minus
SLC35F1	10	0.46796	0.60366	0.999876	167	2	-2.0429	E_minus
DPM1	12	0.63734	0.73209	0.999876	216	1	-2.0484	E_minus
HS3ST1	11	0.2792	0.4482	0.999876	110	2	-2.0487	E_minus
ST3GAL3	8	0.18788	0.30777	0.999876	70	2	-2.0546	E_minus
HS3ST3A1	10	0.96395	0.96366	0.999876	318	0	-2.0666	E_minus
NDST2	13	0.64959	0.75687	0.999876	223	1	-2.0706	E_minus
GALNT10	13	0.16169	0.33057	0.999876	60	3	-2.0954	E_minus
CHST3	13	0.8773	0.87794	0.999876	284	1	-2.1115	E_minus
CHST13	14	0.28282	0.47689	0.999876	112	2	-2.1435	E_minus
NDST4	10	0.91698	0.91641	0.999876	300	0	-2.1656	E_minus
B3GNT5	9	0.32152	0.45759	0.999876	122	2	-2.1676	E_minus
LAMP1	14	0.13142	0.29587	0.999876	53	2	-2.174	E_minus
PAPSS1	13	0.98139	0.98179	0.999876	326	0	-2.2493	E_minus
PIGC	14	0.21454	0.40395	0.999876	83	3	-2.2497	E_minus
SULF2	12	0.25934	0.4415	0.999876	100	2	-2.2777	E_minus
CMAHP	10	0.33309	0.47758	0.999876	127	1	-2.2784	E_minus
COG7	11	0.94976	0.94942	0.999876	313	0	-2.2866	E_minus
HPSE2	10	0.3841	0.52372	0.999876	146	2	-2.2972	E_minus
GALNT14	12	0.85988	0.86125	0.999876	279	1	-2.3034	E_minus
ST8SIA3	10	0.8906	0.89018	0.999876	289	0	-2.3065	E_minus
TPST1	12	0.92728	0.92745	0.999876	304	0	-2.3421	E_minus
GALNT1	13	0.069279	0.18174	0.999876	32	4	-2.3929	E_minus
EXTL2	12	0.59829	0.71807	0.999876	209	1	-2.4075	E_minus
MGAT1	10	0.9377	0.93688	0.999876	310	0	-2.4312	E_minus
ARSE	12	0.54076	0.6757	0.999876	194	2	-2.4602	E_minus
UGGT1	12	0.93052	0.93076	0.999876	306	0	-2.4634	E_minus
B3GNT3	13	0.43329	0.59834	0.999876	158	2	-2.4856	E_minus
PIGH	11	0.57047	0.68077	0.999876	202	1	-2.4939	E_minus
MGAT4A	12	0.023874	0.079862	0.999876	16	4	-2.4952	E_minus
FUT1	12	0.16714	0.3254	0.999876	64	2	-2.5088	E_minus
CHST15	12	0.77864	0.80065	0.999876	255	1	-2.6489	E_minus
UGT2A1	11	0.85588	0.85637	0.999876	277	0	-2.657	E_minus
GUSB	13	0.20379	0.37996	0.999876	77	2	-2.6608	E_minus
B3GNT8	12	0.53924	0.67432	0.999876	192	1	-2.6704	E_minus
A4GNT	12	0.47401	0.61931	0.999876	170	1	-2.6721	E_minus
PMM1	10	0.11824	0.24214	0.999876	51	3	-2.6743	E_minus
GAL3ST3	15	0.63993	0.76359	0.999876	218	2	-2.688	E_minus
B4GALT7	12	0.72818	0.77236	0.999876	245	1	-2.7627	E_minus
ARSF	12	0.9641	0.96394	0.999876	319	0	-2.767	E_minus
TPST2	10	0.69424	0.7204	0.999876	234	1	-2.7688	E_minus
B3GALT4	11	0.14285	0.28542	0.999876	56	3	-2.7748	E_minus
ARSD	12	0.34485	0.51717	0.999876	130	2	-2.7993	E_minus
B3GNT4	14	0.7955	0.83123	0.999876	260	1	-2.8013	E_minus
HS6ST2	12	0.4207	0.57529	0.999876	152	2	-2.8554	E_minus
SULF1	12	0.22494	0.39807	0.999876	87	3	-2.9008	E_minus
UGT1A9	6	0.56867	0.57325	0.999876	201	1	-2.9196	E_minus
CSGALNACT2	10	0.7791	0.78105	0.999876	256	1	-2.9346	E_minus
ST6GALNAC2	11	0.87563	0.87571	0.999876	283	0	-2.9368	E_minus
GALNT9	12	0.088796	0.21511	0.999876	39	3	-2.9372	E_minus
CHST4	13	0.80839	0.8277	0.999876	264	1	-2.956	E_minus
HPSE	11	0.16674	0.31895	0.999876	63	3	-2.965	E_minus
ALG8	12	0.95531	0.9556	0.999876	314	0	-2.9772	E_minus
SLC35E3	12	0.96337	0.96319	0.999876	317	0	-2.9887	E_minus
ST6GALNAC6	13	0.64708	0.75598	0.999876	222	1	-2.99	E_minus
GFPT2	11	0.038364	0.10993	0.999876	25	3	-3.001	E_minus
B4GALT3	13	0.60172	0.72757	0.999876	211	1	-3.0174	E_minus
SLC35F4	10	0.93623	0.93547	0.999876	308	0	-3.0234	E_minus
PIGB	10	0.38246	0.52215	0.999876	144	1	-3.0435	E_minus
GBGT1	13	0.62146	0.74472	0.999876	213	2	-3.0472	E_minus
B4GALNT1	10	0.33626	0.48043	0.999876	128	2	-3.0721	E_minus
COG2	11	0.18392	0.34251	0.999876	67	2	-3.0735	E_minus
ACER2	8	0.86415	0.86566	0.999876	280	0	-3.0864	E_minus
UGT8	14	0.28802	0.48252	0.999876	114	2	-3.09	E_minus
FUT5	11	0.71444	0.74806	0.999876	240	1	-3.0975	E_minus
GALNT4	12	0.20622	0.37497	0.999876	78	2	-3.1001	E_minus
HS6ST1	12	0.16424	0.32167	0.999876	62	2	-3.1209	E_minus
ALG3	13	0.85465	0.85871	0.999876	275	1	-3.1221	E_minus
FUT8	13	0.84956	0.8547	0.999876	273	1	-3.1243	E_minus
GALNT2	12	0.98873	0.98899	0.999876	329	0	-3.1484	E_minus
FUT6	10	0.51146	0.62702	0.999876	186	1	-3.1517	E_minus
EXTL1	12	0.009275	0.036257	0.999876	12	3	-3.1533	E_minus
SLC35A2	8	0.18561	0.30544	0.999876	69	2	-3.187	E_minus
SULT1A2	14	0.90517	0.90364	0.999876	297	1	-3.1988	E_minus
HYAL3	12	0.32849	0.50467	0.999876	124	2	-3.2046	E_minus
FUT10	10	0.25144	0.40559	0.999876	96	2	-3.2147	E_minus
ALG11	11	0.85346	0.85418	0.999876	274	0	-3.2149	E_minus
MAN1C1	12	0.21192	0.38179	0.999876	80	3	-3.2315	E_minus
CHST7	10	0.18521	0.34122	0.999876	68	2	-3.2376	E_minus
ALG13	7	0.70038	0.69924	0.999876	236	0	-3.2462	E_minus
ASAH1	11	0.38515	0.53478	0.999876	147	2	-3.2577	E_minus
SULT1C2	12	0.47905	0.62378	0.999876	173	2	-3.2731	E_minus
B3GALT1	12	0.26648	0.45038	0.999876	104	2	-3.2934	E_minus
FPGT	11	0.32916	0.4884	0.999876	125	1	-3.3013	E_minus
FUCA1	11	0.76293	0.77831	0.999876	251	1	-3.3089	E_minus
ST3GAL6	14	0.34131	0.54141	0.999876	129	2	-3.3192	E_minus
GAA	12	0.46289	0.61008	0.999876	165	2	-3.343	E_minus
ST8SIA5	11	0.4596	0.59924	0.999876	163	1	-3.3494	E_minus
UGT2B10	6	0.64215	0.641	0.999876	219	0	-3.3678	E_minus
LIPA	14	0.13252	0.29798	0.999876	54	3	-3.4239	E_minus
CHPF2	12	0.90407	0.90422	0.999876	296	0	-3.4287	E_minus
GNPDA1	11	0.93268	0.93209	0.999876	307	0	-3.4302	E_minus
GALNT16	13	0.52185	0.66456	0.999876	190	2	-3.4355	E_minus
IDUA	12	0.47701	0.62192	0.999876	172	2	-3.4457	E_minus
SULT1A3	10	0.90583	0.90522	0.999876	299	0	-3.4497	E_minus
UXS1	12	0.42408	0.57796	0.999876	154	2	-3.4689	E_minus
HS2ST1	12	0.57805	0.7093	0.999876	204	1	-3.4714	E_minus
GALNT11	11	0.85967	0.86004	0.999876	278	0	-3.4728	E_minus
GALNT3	11	0.39758	0.54538	0.999876	149	2	-3.477	E_minus
NEU2	12	0.6629	0.74281	0.999876	225	1	-3.4796	E_minus
ST6GALNAC1	12	0.45162	0.6004	0.999876	161	1	-3.5026	E_minus
FUT11	10	0.6325	0.68366	0.999876	214	1	-3.5126	E_minus
SLC35F2	13	0.99751	0.99794	0.999876	341	0	-3.5204	E_minus
SLC35E2	6	0.93777	0.93763	0.999876	311	0	-3.5416	E_minus
B3GAT2	12	0.98941	0.98964	0.999876	330	0	-3.5458	E_minus
B3GALNT1	13	0.11031	0.25801	0.999876	47	4	-3.5534	E_minus
POMT1	12	0.089094	0.21569	0.999876	41	4	-3.5825	E_minus
STS	11	0.19112	0.35218	0.999876	72	2	-3.6048	E_minus
CHST6	10	0.84922	0.84884	0.999876	272	0	-3.6054	E_minus
POFUT1	14	0.96641	0.96629	0.999876	321	0	-3.6055	E_minus
DPM2	10	0.79608	0.79598	0.999876	261	1	-3.6101	E_minus
HEXA	10	0.1612	0.3057	0.999876	59	3	-3.6176	E_minus
EXT1	12	0.077728	0.1931	0.999876	37	4	-3.638	E_minus
ST8SIA6	12	0.91765	0.91771	0.999876	301	0	-3.7306	E_minus
CHST10	11	0.69795	0.73893	0.999876	235	1	-3.7347	E_minus
HS3ST4	13	0.18251	0.35485	0.999876	66	3	-3.7418	E_minus
GLA	11	0.61483	0.69892	0.999876	212	1	-3.7486	E_minus
GALK1	12	0.55106	0.68498	0.999876	197	1	-3.7786	E_minus
SGSH	12	0.10152	0.2397	0.999876	43	3	-3.7951	E_minus
DSEL	13	0.38249	0.56354	0.999876	145	1	-3.8082	E_minus
MGAT4B	11	0.13712	0.27755	0.999876	55	1	-3.8406	E_minus
POFUT2	14	0.49641	0.65604	0.999876	181	2	-3.8433	E_minus
SLC35A4	12	0.57943	0.71064	0.999876	205	1	-3.8627	E_minus
SLC35B4	14	0.36952	0.57111	0.999876	139	2	-3.8797	E_minus
CHSY1	12	0.74081	0.77905	0.999876	247	1	-3.906	E_minus
UAP1	11	0.90569	0.90554	0.999876	298	0	-3.9086	E_minus
B4GALT1	11	0.063717	0.16507	0.999876	30	3	-3.9135	E_minus
LFNG	11	0.27692	0.44645	0.999876	108	1	-3.9141	E_minus
HEXB	11	0.22564	0.3987	0.999876	88	2	-3.9716	E_minus
ALG5	11	0.7393	0.76294	0.999876	246	1	-3.978	E_minus
SLC35A5	10	0.40367	0.54167	0.999876	151	2	-3.9808	E_minus
NDST1	11	0.069869	0.17777	0.999876	33	2	-3.9857	E_minus
MAN1B1	13	0.46929	0.62433	0.999876	168	1	-3.9903	E_minus
GALK2	10	0.024189	0.072359	0.999876	17	4	-4.0153	E_minus
ST6GALNAC5	13	0.45628	0.61464	0.999876	162	2	-4.0225	E_minus
POMT2	11	0.42763	0.5716	0.999876	155	2	-4.076	E_minus
ST6GALNAC3	12	0.9826	0.98257	0.999876	327	0	-4.0787	E_minus
SMPD1	13	0.89625	0.89614	0.999876	294	0	-4.08	E_minus
SLC35B1	9	0.93757	0.93826	0.999876	309	0	-4.1186	E_minus
FUT4	14	0.5984	0.7275	0.999876	210	2	-4.1459	E_minus
AGA	11	0.49367	0.6297	0.999876	180	1	-4.1602	E_minus
NDST3	12	0.3045	0.48795	0.999876	115	1	-4.1624	E_minus
GALNS	11	0.53975	0.66869	0.999876	193	1	-4.1738	E_minus
CHST2	12	0.78983	0.80766	0.999876	259	1	-4.1957	E_minus
CHST1	13	0.75344	0.79854	0.999876	248	1	-4.2099	E_minus
ALG2	12	0.99676	0.99687	0.999876	339	0	-4.2128	E_minus
GFPT1	10	0.99395	0.99391	0.999876	335	0	-4.2152	E_minus
CHPF	14	0.56673	0.70497	0.999876	200	2	-4.2199	E_minus
ALG10	12	0.2548	0.43575	0.999876	98	3	-4.2237	E_minus
ALG10B	12	0.90046	0.90075	0.999876	295	0	-4.2317	E_minus
MGEA5	12	0.8446	0.84787	0.999876	271	1	-4.2325	E_minus
B4GALNT2	14	0.5723	0.70909	0.999876	203	2	-4.2354	E_minus
NAGK	11	0.59443	0.69	0.999876	208	1	-4.2365	E_minus
GCNT3	13	0.92719	0.92771	0.999876	303	0	-4.2412	E_minus
UGT1A8	7	0.31769	0.4339	0.999876	120	1	-4.2999	E_minus
COG3	13	0.95554	0.95574	0.999876	315	0	-4.3022	E_minus
PGM1	13	0.99391	0.99429	0.999876	334	0	-4.3071	E_minus
COG8	12	0.66737	0.74474	0.999876	231	1	-4.3126	E_minus
ST6GALNAC4	11	0.80821	0.81178	0.999876	263	1	-4.332	E_minus
GLB1	11	0.24513	0.42247	0.999876	94	1	-4.3344	E_minus
HS3ST3B1	12	0.99107	0.99117	0.999876	332	0	-4.3739	E_minus
ALG14	12	0.83841	0.84294	0.999876	269	1	-4.3743	E_minus
NEU4	12	0.5224	0.66029	0.999876	191	2	-4.4073	E_minus
XYLT1	12	0.2756	0.46156	0.999876	107	2	-4.4255	E_minus
ALG9	15	0.66688	0.78326	0.999876	230	2	-4.4265	E_minus
RPN1	11	0.77109	0.78376	0.999876	253	1	-4.4271	E_minus
CHST9	11	0.92485	0.9251	0.999876	302	0	-4.4438	E_minus
LARGE	12	0.37319	0.53878	0.999876	140	1	-4.4982	E_minus
ST3GAL5	12	0.88967	0.89014	0.999876	288	0	-4.5104	E_minus
MFNG	12	0.36119	0.5294	0.999876	135	2	-4.5111	E_minus
OGT	10	0.99439	0.99427	0.999876	336	0	-4.5253	E_minus
RPN2	10	0.96818	0.96805	0.999876	323	0	-4.5452	E_minus
SLC35E1	11	0.64424	0.71224	0.999876	220	1	-4.5485	E_minus
STT3B	12	0.5193	0.65768	0.999876	189	2	-4.556	E_minus
HAS3	14	0.47194	0.63915	0.999876	169	2	-4.5816	E_minus
GALT	11	0.26196	0.4347	0.999876	101	2	-4.5842	E_minus
B3GALNT2	10	0.31346	0.46052	0.999876	118	1	-4.5905	E_minus
ST3GAL2	13	0.15071	0.31777	0.999876	57	3	-4.6515	E_minus
UGCG	11	0.9668	0.96678	0.999876	322	0	-4.6676	E_minus
MANBA	9	0.79891	0.79935	0.999876	262	0	-4.6754	E_minus
RFNG	11	0.35396	0.50831	0.999876	131	2	-4.6789	E_minus
GCNT2	12	0.99057	0.99072	0.999876	331	0	-4.687	E_minus
GMPPB	10	0.84214	0.84189	0.999876	270	0	-4.7444	E_minus
B3GNT2	11	0.4612	0.60068	0.999876	164	2	-4.746	E_minus
UGDH	13	0.86434	0.86584	0.999876	281	1	-4.7653	E_minus
MAN1A2	12	0.71305	0.76467	0.999876	239	1	-4.7684	E_minus
GALNT5	11	0.11435	0.24628	0.999876	49	3	-4.7728	E_minus
B3GALT6	11	0.75682	0.77448	0.999876	250	1	-4.789	E_minus
DAD1	7	0.97729	0.97774	0.999876	324	0	-4.7907	E_minus
NEU3	11	0.86919	0.86948	0.999876	282	0	-4.8125	E_minus
HK3	12	0.088915	0.21538	0.999876	40	3	-4.8313	E_minus
ALG6	10	0.99799	0.99779	0.999876	343	0	-4.8435	E_minus
SLC35A3	10	0.27831	0.4294	0.999876	109	1	-4.8449	E_minus
GNS	11	0.26646	0.43842	0.999876	103	1	-4.8535	E_minus
DPAGT1	12	0.63493	0.73109	0.999876	215	1	-4.8753	E_minus
CTSA	11	0.82549	0.82655	0.999876	265	1	-4.8769	E_minus
B3GALT5	10	0.99229	0.99217	0.999876	333	0	-4.8863	E_minus
GALNT7	11	0.66545	0.72241	0.999876	229	1	-4.9066	E_minus
HK1	10	0.99794	0.99774	0.999876	342	0	-4.9301	E_minus
GALNT17	10	0.88637	0.88588	0.999876	286	0	-4.9518	E_minus
CHST14	12	0.95755	0.95771	0.999876	316	0	-4.9529	E_minus
GALE	12	0.89403	0.89449	0.999876	292	0	-4.9777	E_minus
MAN2B1	11	0.97933	0.97973	0.999876	325	0	-5.0027	E_minus
UGP2	13	0.96522	0.96544	0.999876	320	0	-5.0153	E_minus
UST	13	0.48915	0.63966	0.999876	176	1	-5.0307	E_minus
GNB1	12	0.99745	0.9974	0.999876	340	0	-5.0505	E_minus
ST6GAL2	11	0.44207	0.58408	0.999876	159	2	-5.0812	E_minus
GNPNAT1	8	0.98541	0.98553	0.999876	328	0	-5.0942	E_minus
MGAT3	11	0.76443	0.77928	0.999876	252	1	-5.0998	E_minus
GAL3ST2	11	0.7545	0.77293	0.999876	249	1	-5.1431	E_minus
DDOST	10	0.99668	0.9966	0.999876	338	0	-5.1956	E_minus
ALG1	11	0.82832	0.82901	0.999876	266	1	-5.2702	E_minus
ARSA	11	0.09521	0.2192	0.999876	42	3	-5.3033	E_minus
B4GALNT3	12	0.55687	0.69014	0.999876	198	1	-5.3201	E_minus
COG4	9	0.99552	0.99567	0.999876	337	0	-5.461	E_minus
SLC35C2	9	0.49042	0.58892	0.999876	178	1	-5.5208	E_minus
ASAH2	11	0.31939	0.4801	0.999876	121	1	-5.5356	E_minus
DPM3	9	0.92893	0.9293	0.999876	305	0	-5.5695	E_minus
STT3A	10	0.67907	0.71124	0.999876	233	1	-5.5927	E_minus
ALG12	11	0.83764	0.83787	0.999876	267	1	-5.6666	E_minus
B4GALT5	11	0.99961	0.99965	0.999876	346	0	-5.7321	E_minus
PMM2	11	0.99982	0.99988	0.999876	347	0	-5.7962	E_minus
MPI	12	0.99845	0.99847	0.999876	345	0	-5.886	E_minus
GNB2L1	12	0.50681	0.64719	0.999876	185	1	-5.8926	E_minus
GPI	11	0.99838	0.99833	0.999876	344	0	-6.2801	E_minus
NANS	11	1.903e-18	4.9687e-06	0.000172	2	10	3.6933	HECA_minus
FUT7	14	1.8634e-18	4.9687e-06	0.000172	1	14	3.26	HECA_minus
SLC35A1	10	6.8181e-10	4.9687e-06	0.000172	9	10	3.2317	HECA_minus
GMDS	10	9.782e-18	4.9687e-06	0.000172	3	10	3.1828	HECA_minus
SLC35C1	11	2.0038e-12	4.9687e-06	0.000172	7	10	2.9114	HECA_minus
CMAS	9	3.1604e-11	4.9687e-06	0.000172	8	9	2.7726	HECA_minus
GNE	11	6.431e-15	4.9687e-06	0.000172	4	11	2.7306	HECA_minus
ST3GAL4	12	1.7108e-14	4.9687e-06	0.000172	5	12	2.6245	HECA_minus
TSTA3	14	2.8794e-13	4.9687e-06	0.000172	6	12	2.2119	HECA_minus
GANAB	12	2.6402e-08	4.9687e-06	0.000172	10	10	1.8075	HECA_minus
GCNT1	11	4.1127e-06	2.4843e-05	0.000718	12	8	1.0685	HECA_minus
MOGS	13	1.1164e-06	1.4906e-05	0.00047	11	10	0.96251	HECA_minus
COG6	11	0.0048812	0.022056	0.478341	16	6	0.3767	HECA_minus
C1GALT1C1	10	0.017681	0.060772	0.916867	23	5	0.36779	HECA_minus
UGGT1	12	0.004524	0.020436	0.478341	14	6	0.35677	HECA_minus
B3GALT4	11	0.0097302	0.038314	0.738602	18	5	0.35162	HECA_minus
