gene_id	transcript_id	HEKTE_KIDNEY	MCF7_BREAST	DU4475_BREAST	MDAMB231_BREAST	T47D_BREAST	ZR751_BREAST	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ENSG00000117411.12	ENST00000356836	1.17	3.09	3.6	4.97	1.42	1.89	1.52
ENSG00000117411.12	ENST00000372324	11.04	6.08	5.99	18.28	4.51	11.31	7.33
ENSG00000117411.12	ENST00000434555	10.96	11	14.69	12.59	12.34	10.22	12.67
ENSG00000117620.8	ENST00000370153	0	0	0	0	0	0	0
ENSG00000117620.8	ENST00000370155	0.07	0.9	0.19	0.48	1.01	4.55	0
ENSG00000117620.8	ENST00000427993	4.87	6.3	2.58	9.08	6.16	20.95	0.31
ENSG00000117620.8	ENST00000465289	3.59	3.23	1.44	3.31	2.84	6.66	0.53
ENSG00000117620.8	ENST00000533028	2.08	3.39	1.13	2.58	2.55	13.85	2.59
ENSG00000128268.11	ENST00000341184	0.12	0.03	7.94	0.05	0.22	0.36	2.09
ENSG00000128268.11	ENST00000429402	0	0	0.28	0	0	0	0
ENSG00000131446.11	ENST00000307826	48.21	45.08	61.73	67.93	33.37	14.66	15.02
ENSG00000131446.11	ENST00000333055	0.76	0.15	3.59	0.85	4.4	0.78	2.44
ENSG00000131446.11	ENST00000393340	0	0.19	0.49	0	0	0	0.09
ENSG00000131446.11	ENST00000427865	0.7	0.05	3.58	0.15	0.05	0.38	0.89
ENSG00000131446.11	ENST00000446023	5.38	7.07	11.18	4.12	2.29	6.45	1.41
ENSG00000131446.11	ENST00000502678	0.64	0.81	1.99	1.28	0.82	0.9	0.16
ENSG00000131446.11	ENST00000504671	0.12	0	0.07	0	0	0	0
ENSG00000131446.11	ENST00000506269	0	0	0	0	0	0	0
ENSG00000131446.11	ENST00000506889	5.32	6.1	8.34	5.89	6.28	0	0.23
ENSG00000131446.11	ENST00000512695	0	0	0.22	0	0.09	0	0
ENSG00000131446.11	ENST00000513431	0	0	0	0	0	0	0
ENSG00000131446.11	ENST00000514283	0.44	0	0.24	0.09	0	0	0.21
ENSG00000131446.11	ENST00000514438	0	0	0	0	0	0	0
ENSG00000140297.8	ENST00000396065	1.74	0.01	3.05	0.16	0.01	0.21	0.03
ENSG00000140297.8	ENST00000559189	0.09	0	0	0	0	0	0
ENSG00000140297.8	ENST00000559200	0	0	0.19	0	0	0	0
ENSG00000140297.8	ENST00000560585	0	0	1.7	0	0.03	0	0.03
ENSG00000140650.7	ENST00000268261	18.29	43.3	10.55	20.82	24.05	37.07	29.71
ENSG00000140650.7	ENST00000562318	0.47	0.34	0	0.35	0.15	0	0.16
ENSG00000140650.7	ENST00000564069	0.51	0.58	0	0.49	0.24	0	0
ENSG00000140650.7	ENST00000565221	0.18	0.33	0.06	0	0.06	2.1	0
ENSG00000140650.7	ENST00000565896	0	0	0	0	0	0	0
ENSG00000140650.7	ENST00000566540	0	0	0	0	0	0.18	0
ENSG00000140650.7	ENST00000566604	0.75	0.91	0	0.86	0.34	0	0.22
ENSG00000140650.7	ENST00000566983	0	0	0	0	0	0	0
ENSG00000140650.7	ENST00000568602	0.09	0.23	0	0	0.26	0	0
ENSG00000140650.7	ENST00000569958	0.47	0.55	0.14	0.13	0.53	0	0.34
ENSG00000140650.7	ENST00000570076	0	0.06	0	0	0.09	0	0
ENSG00000140650.7	ENST00000570134	0.56	0.29	0.56	0	1.55	0.02	0
ENSG00000147162.9	ENST00000373701	0	0.02	0	0	0.02	0	0
ENSG00000147162.9	ENST00000373719	34.54	32.79	26.29	37.62	18.21	43.47	26.9
ENSG00000147162.9	ENST00000444774	0	0.07	0	0	0	0	0
ENSG00000148154.5	ENST00000374279	155.13	22.24	7.83	59.33	43.07	22.67	2.41
ENSG00000152127.4	ENST00000281923	0	0	0	0	0	0	0
ENSG00000152127.4	ENST00000409645	9.53	9.37	16.69	7.99	6.34	4.43	5.47
ENSG00000161013.12	ENST00000292591	65.11	28.52	60.59	59.61	20.59	19.29	17.55
ENSG00000161013.12	ENST00000337755	5.11	3.65	5.74	2.5	6.74	13.6	5.84
ENSG00000161013.12	ENST00000519836	5.24	7.13	4.04	3.6	2.72	0	2.52
ENSG00000161013.12	ENST00000520918	0.33	0.07	0.78	0.34	0.45	0	0
ENSG00000161013.12	ENST00000523329	2.87	1.27	3.11	3.59	2.82	4.02	0
ENSG00000162630.5	ENST00000367434	0.04	0.01	7.94	0.02	0.03	0.11	0.01
ENSG00000164414.12	ENST00000369552	15.04	22.13	7.82	6.99	31.92	57.38	8.07
ENSG00000164414.12	ENST00000369556	0.4	1.15	0.49	0	0.56	0	2.21
ENSG00000164414.12	ENST00000369557	0	0.14	0	0	0	0	0.04
ENSG00000168282.4	ENST00000305386	35.74	21.71	15.89	56.57	28.81	14.15	19.84
ENSG00000170340.10	ENST00000301998	6.11	4.8	4.13	8.07	3.6	12.43	10.31
ENSG00000170340.10	ENST00000405767	5.53	6.55	4.88	1.63	1.85	4.38	0
ENSG00000174607.6	ENST00000310836	8.04	0.03	20.78	6.21	0.03	1.02	0.01
ENSG00000174607.6	ENST00000394511	0.03	0.01	0	0.04	0	0	0.01
ENSG00000174607.6	ENST00000507710	1.55	0	4.68	0.44	0	0	0.02
ENSG00000174951.6	ENST00000310160	0.16	3.76	2.92	0.6	2.03	1.18	0.01
ENSG00000176022.3	ENST00000379198	18.18	9.28	14.42	12.53	8.6	7.72	14.42
ENSG00000176597.7	ENST00000326505	3.39	0.19	5.72	14.18	0.02	0.18	5.77
ENSG00000176597.7	ENST00000460419	0.53	0	0.53	1.12	0.01	0	0.02
ENSG00000176597.7	ENST00000464923	0	0	0.09	0.11	0	0	0
ENSG00000176597.7	ENST00000465010	0	0	0	0	0	0	0
ENSG00000176920.10	ENST00000391876	0	0.39	0	0.03	1	0	0.01
ENSG00000176920.10	ENST00000425340	0.27	0.38	0.13	0.36	4.05	4.69	0
ENSG00000176920.10	ENST00000522966	0.02	0	0	0	2.95	2.07	0
ENSG00000181830.7	ENST00000314134	4.06	4.07	1.33	5.23	6.2	2.1	1.23
ENSG00000181830.7	ENST00000442528	2	1.17	0.22	4.96	0.29	0.55	0.25
ENSG00000181830.7	ENST00000526817	0	0	0	0	0	0	0
ENSG00000181830.7	ENST00000530471	0.38	0.29	0.28	0.3	0.33	0	0
ENSG00000187210.8	ENST00000376730	2.07	0.39	0.86	8.82	0	1.72	0.52
ENSG00000187210.8	ENST00000442371	0.35	0.01	0	0.25	0	0	0
ENSG00000187210.8	ENST00000444201	2.6	0.86	2.38	6.46	0.08	4.75	5.66
ENSG00000198408.9	ENST00000357797	0.2	0.64	0.5	0.38	0.28	0.15	0.05
ENSG00000198408.9	ENST00000361464	28.26	38.55	26.72	39.23	34.25	37.25	7.72
ENSG00000198408.9	ENST00000370094	1.16	5.55	5.09	3.17	5.33	11.45	0.18
ENSG00000198408.9	ENST00000439817	6.21	11.65	10.6	7.36	11.53	6.67	14.63
