Gene name	Transcript stable ID	Chromosome/scaffold name	Transcript start (bp)	Transcript end (bp)
UGT1A9	ENST00000354728	2	233671898	233773300
CTSA	ENST00000354880	20	45891322	45898820
LARGE1	ENST00000354992	22	33272861	33920421
SLC35E2A	ENST00000355439	1	1724840	1745999
SLC17A5	ENST00000355773	6	73593379	73653992
ARSA	ENST00000356098	22	50625018	50628170
ST3GAL4	ENST00000356132	11	126403416	126414641
GALNT6	ENST00000356317	12	51351252	51391406
GPI	ENST00000356487	19	34365196	34402413
MAN1A2	ENST00000356554	1	117367449	117528872
COG6	ENST00000356576	13	39655724	39752500
GANAB	ENST00000356638	11	62624829	62646613
XXYLT1	ENST00000356740	3	195069715	195122192
B4GALT2	ENST00000356836	1	43979877	43991168
MFNG	ENST00000356998	22	37469063	37486384
GM2A	ENST00000357164	5	151253185	151270440
GFPT1	ENST00000357308	2	69319769	69387254
HYAL2	ENST00000357750	3	50317808	50322745
OGA	ENST00000357797	10	101786134	101818418
GMPPA	ENST00000358215	2	219498901	219506989
FUT8	ENST00000358307	14	65413008	65743142
EXT2	ENST00000358681	11	44095717	44244931
FUT4	ENST00000358752	11	94543840	94549898
HYAL3	ENST00000359051	3	50292831	50298859
ST6GALNAC1	ENST00000359088	17	76624763	76643693
B4GALT4	ENST00000359213	3	119211742	119240946
ARSF	ENST00000359361	X	3066833	3112706
HK1	ENST00000359426	10	69318844	69401882
LFNG	ENST00000359574	7	2519862	2529177
SULF2	ENST00000359930	20	47656912	47786586
GAL3ST4	ENST00000360039	7	100159244	100168617
HK1	ENST00000360289	10	69270000	69401879
SLC35F1	ENST00000360388	6	117907264	118317671
UGT1A1	ENST00000360418	2	233760288	233771615
MAN2A2	ENST00000360468	15	90904190	90922584
PIGP	ENST00000360525	21	37059170	37073158
FUT8	ENST00000360689	14	65410592	65744121
HS3ST3B1	ENST00000360954	17	14301081	14349404
GFPT1	ENST00000361060	2	69319780	69387248
PAPSS2	ENST00000361175	10	87659613	87747705
ST3GAL3	ENST00000361392	1	43707538	43931159
ST3GAL3	ENST00000361400	1	43707533	43931162
ST6GALNAC4	ENST00000361444	9	127908447	127916996
OGA	ENST00000361464	10	101784450	101818444
ST6GAL2	ENST00000361686	2	106801600	106887107
ST3GAL3	ENST00000361746	1	43707647	43931152
ST3GAL3	ENST00000361812	1	43736263	43930709
B3GALNT2	ENST00000366600	1	235447190	235504452
SLC35F3	ENST00000366617	1	234214271	234324511
SLC35F3	ENST00000366618	1	233904676	234324511
COG2	ENST00000366668	1	230642567	230693982
COG2	ENST00000366669	1	230642481	230693982
GALNT2	ENST00000366672	1	230067238	230282122
B3GALT2	ENST00000367434	1	193178730	193186613
UST	ENST00000367463	6	148747030	149076990
NPL	ENST00000367552	1	182794350	182829679
NPL	ENST00000367553	1	182792259	182830132
NPL	ENST00000367554	1	182789449	182830384
NPL	ENST00000367555	1	182789769	182830384
PIGC	ENST00000367728	1	172441457	172444086
UAP1	ENST00000367924	1	162566037	162599831
UAP1	ENST00000367925	1	162566037	162599831
UAP1	ENST00000367926	1	162561533	162599837
B4GALT3	ENST00000367998	1	161171312	161177497
PIGM	ENST00000368090	1	160024953	160031990
GBA	ENST00000368373	1	155234452	155241249
DPM3	ENST00000368399	1	155139891	155140407
DPM3	ENST00000368400	1	155139891	155140544
MAN1A1	ENST00000368468	6	119177205	119349761
SLC35A1	ENST00000369552	6	87472974	87512336
SLC35A1	ENST00000369556	6	87472925	87512330
SLC35A1	ENST00000369557	6	87472925	87512330
RENBP	ENST00000369997	X	153935283	153944687
OGA	ENST00000370094	10	101797046	101818418
EXTL2	ENST00000370113	1	100872387	100894812
EXTL2	ENST00000370114	1	100872391	100894842
SLC35A3	ENST00000370153	1	99970436	100026979
SLC35A3	ENST00000370155	1	99970057	100023824
ALG14	ENST00000370205	1	94974405	95072951
IDS	ENST00000370441	X	149487131	149505347
HPSE2	ENST00000370546	10	98459574	99235802
HPSE2	ENST00000370549	10	98459118	99235862
HS2ST1	ENST00000370550	1	86914635	87109982
HS2ST1	ENST00000370551	1	86914648	87098445
HPSE2	ENST00000370552	10	98459118	99235862
CTBS	ENST00000370625	1	84554853	84574421
CTBS	ENST00000370630	1	84549611	84574440
HS6ST2	ENST00000370833	X	132628223	132958602
HS6ST2	ENST00000370836	X	132626016	132961395
FPGT	ENST00000370894	1	74198241	74206206
FPGT	ENST00000370898	1	74198212	74207234
PGM1	ENST00000371083	1	63623093	63660221
PGM1	ENST00000371084	1	63593411	63660245
C1GALT1C1	ENST00000371313	X	120625931	120629995
LAMP2	ENST00000371335	X	120436494	120469306
DPM1	ENST00000371582	20	50934867	50958555
DPM1	ENST00000371584	20	50934945	50958521
MAN1B1	ENST00000371587	9	137087081	137101853
DPM1	ENST00000371588	20	50934867	50958550
MAN1B1	ENST00000371589	9	137086985	137109183
B4GALT5	ENST00000371711	20	49632945	49713878
LIPA	ENST00000371837	10	89213569	89414557
ALG13	ENST00000371979	X	111681118	111690172
POMGNT1	ENST00000371984	1	46188683	46198434
POMGNT1	ENST00000371992	1	46188683	46220305
GBGT1	ENST00000372036	9	133160018	133163895
GBGT1	ENST00000372038	9	133154075	133163897
GBGT1	ENST00000372040	9	133152948	133163914
GBGT1	ENST00000372043	9	133152953	133163919
POMT1	ENST00000372220	9	131518219	131523806
SLC35C2	ENST00000372227	20	46349528	46363174
POMT1	ENST00000372228	9	131502918	131523799
SLC35C2	ENST00000372230	20	46345984	46364425
B4GALT2	ENST00000372324	1	43979202	43991170
ST3GAL3	ENST00000372362	1	43736263	43930202
ST3GAL3	ENST00000372365	1	43736263	43930221
ST3GAL3	ENST00000372366	1	43736263	43930972
ST3GAL3	ENST00000372367	1	43736263	43930221
ST3GAL3	ENST00000372368	1	43736233	43931122
ST3GAL3	ENST00000372369	1	43736263	43930221
ST3GAL3	ENST00000372372	1	43707527	43930891
ST3GAL3	ENST00000372374	1	43707536	43931122
CTSA	ENST00000372459	20	45891376	45898786
CTSA	ENST00000372484	20	45891044	45898820
FUT11	ENST00000372841	10	73772276	73776219
DPM2	ENST00000373110	9	127936034	127937843
CHST3	ENST00000373115	10	71964395	72013558
ST6GALNAC6	ENST00000373141	9	127885322	127897408
ST6GALNAC6	ENST00000373142	9	127885322	127899646
ST6GALNAC6	ENST00000373144	9	127885322	127899655
ST6GALNAC6	ENST00000373146	9	127885321	127899653
UGT1A4	ENST00000373409	2	233718778	233773299
UGT1A5	ENST00000373414	2	233712992	233773299
UGT1A6	ENST00000373424	2	233691607	233772668
UGT1A7	ENST00000373426	2	233681938	233773299
UGT1A10	ENST00000373445	2	233636502	233770279
UGT1A8	ENST00000373450	2	233617645	233773310
RPN2	ENST00000373622	20	37179161	37241619
RPN2	ENST00000373632	20	37179318	37210165
OGT	ENST00000373701	X	71533123	71573816
OGT	ENST00000373719	X	71533104	71575892
CHPF	ENST00000373891	2	219541460	219543573
GMPPA	ENST00000373908	2	219498906	219506988
GMPPA	ENST00000373917	2	219498888	219506935
UGCG	ENST00000374279	9	111896814	111935369
EXTL1	ENST00000374280	1	26021775	26036464
MAN1C1	ENST00000374329	1	25709602	25784450
MAN1C1	ENST00000374332	1	25617468	25786207
CSGALNACT2	ENST00000374466	10	43138445	43185302
FUCA1	ENST00000374479	1	23845077	23868294
GALE	ENST00000374497	1	23795600	23800402
MGAT5B	ENST00000374998	17	76868824	76914098
GALNT12	ENST00000375011	9	98807670	98850081
DDOST	ENST00000375048	1	20651777	20661507
SLC35D2	ENST00000375257	9	96350749	96383678
SLC35D2	ENST00000375259	9	96320710	96383689
NEU1	ENST00000375631	6	31857659	31862821
SLC35F2	ENST00000375682	11	107792615	107858561
POFUT1	ENST00000375730	20	32207893	32217923
POFUT1	ENST00000375749	20	32207880	32238658
ALG8	ENST00000376156	11	78100947	78139592
SLC35A2	ENST00000376512	X	48905956	48911677
SLC35A2	ENST00000376515	X	48904284	48911958
SLC35A2	ENST00000376521	X	48903184	48911958
SLC35A2	ENST00000376529	X	48903184	48911646
XYLT2	ENST00000376550	17	50346136	50361151
HS6ST3	ENST00000376705	13	96090839	96839562
UGGT2	ENST00000376712	13	95990145	96053393
UGGT2	ENST00000376714	13	95983524	96053482
UGGT1	ENST00000376723	2	128091211	128191428
GCNT1	ENST00000376730	9	76459182	76507416
UGGT2	ENST00000376747	13	95801580	96053401
RACK1	ENST00000376817	5	181236937	181243903
ST3GAL5	ENST00000377332	2	85839169	85888958
ST8SIA6	ENST00000377602	10	17315421	17454595
GALNT10	ENST00000377661	5	154190774	154419031
CMAHP	ENST00000377989	6	25081570	25138593
CMAHP	ENST00000377993	6	25081862	25138081
EXT1	ENST00000378204	8	117794490	118111853
SLC35B4	ENST00000378509	7	134289332	134316930
GNB1	ENST00000378609	1	1785286	1891087
GALT	ENST00000378842	9	34646663	34651035
B3GALT6	ENST00000379198	1	1232237	1235041
GCNT2	ENST00000379597	6	10528356	10629367
SLC35B3	ENST00000379660	6	8413068	8435483
B4GALT1	ENST00000379731	9	33110637	33167356
B3GALT5	ENST00000380618	21	39657327	39662889
B3GALT5	ENST00000380620	21	39556442	39673137
GMDS	ENST00000380805	6	1623807	1930999
GMDS	ENST00000380815	6	1623806	2245605
ARSF	ENST00000381127	X	3041471	3112727
ARSL	ENST00000381134	X	2934521	2964341
ARSD	ENST00000381154	X	2903972	2929339
A4GALT	ENST00000381278	22	42692122	42720819
ST8SIA1	ENST00000381424	12	22325099	22334671
ASAH1	ENST00000381733	8	18056455	18084998
CTNS	ENST00000381870	17	3636459	3661542
B4GALT6	ENST00000383131	18	31625485	31684504
B3GALT4	ENST00000383209	CHR_HSCHR6_MHC_QBL_CTG1	33205959	33207652
EOGT	ENST00000383701	3	68975225	69013684
GAA	ENST00000390015	17	80101594	80119877
POGLUT1	ENST00000390401	3	119468975	119471816
CHST6	ENST00000390664	16	75478452	75495384
FUT2	ENST00000391876	19	48696039	48705614
NEU4	ENST00000391969	2	241810935	241817408
B3GAT1	ENST00000392580	11	134378506	134411918
ST3GAL4	ENST00000392669	11	126403416	126414638
B3GALT1	ENST00000392690	2	167868948	167874041
GALNT3	ENST00000392701	2	165747588	165794247
STT3A	ENST00000392708	11	125592852	125623091
B3GALNT1	ENST00000392779	3	161083883	161105370
B3GALNT1	ENST00000392781	3	161083883	161105351
GALNT13	ENST00000392825	2	153871922	154453979
DPAGT1	ENST00000392834	11	119096510	119101878
MGAT1	ENST00000393340	5	180790548	180810137
B4GALNT2	ENST00000393354	17	49132769	49176840
MGAT4A	ENST00000393487	2	98619106	98731132
GALC	ENST00000393568	14	87934681	87993178
GALC	ENST00000393569	14	87934331	87993665
COG5	ENST00000393603	7	107207848	107564261
COG4	ENST00000393612	16	70480572	70523554
ST3GAL2	ENST00000393640	16	70375978	70400638
RENBP	ENST00000393700	X	153935269	153944643
B4GALT4	ENST00000393765	3	119211742	119240878
ST3GAL5	ENST00000393805	2	85839149	85887580
ST3GAL5	ENST00000393808	2	85839149	85867670
SLC35B2	ENST00000393810	6	44254096	44257554
SLC35B2	ENST00000393812	6	44254101	44257528
ST3GAL6	ENST00000394162	3	98732704	98795845
UGP2	ENST00000394417	2	63840940	63891562
NDST3	ENST00000394488	4	118033618	118055645
UGT8	ENST00000394511	4	114622367	114676596
FUT8	ENST00000394586	14	65411122	65743142
ALG13	ENST00000394780	X	111681170	111760649
FUT11	ENST00000394790	10	73772291	73776216
SULT1A3	ENST00000395138	16	30199860	30204310
HYAL2	ENST00000395139	3	50317809	50321713
HYAL1	ENST00000395143	3	50300311	50303573
HYAL1	ENST00000395144	3	50299893	50303574
ASAH2	ENST00000395526	10	50182778	50279720
ARSA	ENST00000395619	22	50625033	50628159
ARSA	ENST00000395621	22	50625028	50628155
SULT1A2	ENST00000395630	16	28591945	28596480
EXT2	ENST00000395673	11	44096197	44245429
ST8SIA1	ENST00000396037	12	22193391	22334714
GCNT3	ENST00000396065	15	59611783	59622723
ARSB	ENST00000396151	5	78815511	78986087
NAGA	ENST00000396398	22	42058334	42070812
POMGNT1	ENST00000396420	1	46188682	46220291
GALK2	ENST00000396509	15	49170204	49328514
GNE	ENST00000396594	9	36214441	36277056
GALNT9	ENST00000397325	12	132196372	132206028
LARGE1	ENST00000397394	22	33273076	33920428
GCNT2	ENST00000397423	6	10521332	10626947
UGGT2	ENST00000397618	13	95984910	96053400
ALG3	ENST00000397676	3	184242301	184248962
CSGALNACT1	ENST00000397998	8	19404161	19682761
SLC35E3	ENST00000398004	12	68746176	68781468
ALG9	ENST00000398006	11	111786284	111871301
TPST2	ENST00000398110	22	26525746	26565368
B3GALT5	ENST00000398714	21	39657882	39662888
PIGP	ENST00000399098	21	37065374	37073170
PIGP	ENST00000399102	21	37065374	37072900
PIGP	ENST00000399103	21	37065374	37073011
CTNS	ENST00000399306	17	3636829	3650519
GLB1	ENST00000399402	3	32996609	33096835
ST3GAL1	ENST00000399640	8	133454848	133571940
LARGE2	ENST00000401752	11	45922656	45929096
A4GALT	ENST00000401850	22	42692121	42694986
GAL3ST1	ENST00000401975	22	30554637	30564889
LFNG	ENST00000402045	7	2517863	2528429
LARGE1	ENST00000402320	22	33273089	33920414
GAL3ST1	ENST00000402321	22	30554635	30565133
GAL3ST1	ENST00000402369	22	30554635	30574578
C1GALT1	ENST00000402468	7	7234320	7238964
LFNG	ENST00000402506	7	2512529	2528427
POMT1	ENST00000402686	9	131502944	131523806
SULF1	ENST00000402687	8	69492847	69660912
NAGA	ENST00000402937	22	42059802	42070842
EOGT	ENST00000403140	3	68977180	69013650
NAGA	ENST00000403363	22	42059796	42070830
TPST2	ENST00000403880	22	26525746	26596717
NEU4	ENST00000404257	2	241810932	241817412
ST8SIA1	ENST00000404299	12	22324379	22334700
HPSE2	ENST00000404542	10	98457077	98744071
POMT1	ENST00000404875	9	131502902	131523806
NEU4	ENST00000405370	2	241809187	241817406
HPSE	ENST00000405413	4	83292461	83335153
B3GNT2	ENST00000405767	2	62215518	62224549
GAL3ST1	ENST00000406361	22	30554635	30574665
SLC35E4	ENST00000406566	22	30636323	30663299
UGT1A6	ENST00000406651	2	233693692	233769701
GALNT14	ENST00000406653	2	30910468	31129624
HS6ST2	ENST00000406696	X	132628223	132958602
GAL3ST1	ENST00000406955	22	30554635	30560776
NEU4	ENST00000407683	2	241808825	241817413
UXS1	ENST00000409032	2	106093604	106138881
CHST10	ENST00000409046	2	100397911	100417334
